SF: 8, BW: 7800 Hz, CR: 4/7, T_payload: 95.179487 ms
SF: 8, BW: 7800 Hz, CR: 4/8, T_payload: 105.025641 ms
SF: 8, BW: 10400 Hz, CR: 4/5, T_payload: 56.615385 ms
SF: 8, BW: 10400 Hz, CR: 4/6, T_payload: 64.000000 ms
SF: 8, BW: 10400 Hz, CR: 4/7, T_payload: 71.384615 ms
SF: 8, BW: 10400 Hz, CR: 4/8, T_payload: 78.769231 ms
SF: 8, BW: 15600 Hz, CR: 4/5, T_payload: 37.743590 ms
SF: 8, BW: 15600 Hz, CR: 4/6, T_payload: 42.666667 ms
SF: 8, BW: 15600 Hz, CR: 4/7, T_payload: 47.589744 ms
SF: 8, BW: 15600 Hz, CR: 4/8, T_payload: 52.512821 ms
SF: 8, BW: 20800 Hz, CR: 4/5, T_payload: 28.307692 ms
SF: 8, BW: 20800 Hz, CR: 4/6, T_payload: 32.000000 ms
SF: 8, BW: 20800 Hz, CR: 4/7, T_payload: 35.692308 ms
SF: 8, BW: 20800 Hz, CR: 4/8, T_payload: 39.384615 ms
SF: 8, BW: 31200 Hz, CR: 4/5, T_payload: 18.871795 ms
SF: 8, BW: 31200 Hz, CR: 4/6, T_payload: 21.333333 ms
SF: 8, BW: 31200 Hz, CR: 4/7, T_payload: 23.794872 ms
SF: 8, BW: 31200 Hz, CR: 4/8, T_payload: 26.256410 ms
SF: 8, BW: 41700 Hz, CR: 4/5, T_payload: 14.119904 ms
SF: 8, BW: 41700 Hz, CR: 4/6, T_payload: 15.961631 ms
SF: 8, BW: 41700 Hz, CR: 4/7, T_payload: 17.803357 ms
SF: 8, BW: 41700 Hz, CR: 4/8, T_payload: 19.645084 ms
SF: 8, BW: 62500 Hz, CR: 4/5, T_payload: 9.420800 ms
SF: 8, BW: 62500 Hz, CR: 4/6, T_payload: 10.649600 ms
SF: 8, BW: 62500 Hz, CR: 4/7, T_payload: 11.878400 ms
SF: 8, BW: 62500 Hz, CR: 4/8, T_payload: 13.107200 ms
SF: 8, BW: 125000 Hz, CR: 4/5, T_payload: 4.710400 ms
SF: 8, BW: 125000 Hz, CR: 4/6, T_payload: 5.324800 ms
SF: 8, BW: 125000 Hz, CR: 4/7, T_payload: 5.939200 ms
SF: 8, BW: 125000 Hz, CR: 4/8, T_payload: 6.553600 ms
SF: 8, BW: 250000 Hz, CR: 4/5, T_payload: 2.355200 ms
SF: 8, BW: 250000 Hz, CR: 4/6, T_payload: 2.662400 ms
SF: 8, BW: 250000 Hz, CR: 4/7, T_payload: 2.969600 ms
SF: 8, BW: 250000 Hz, CR: 4/8, T_payload: 3.276800 ms
SF: 8, BW: 500000 Hz, CR: 4/5, T_payload: 1.177600 ms
SF: 8, BW: 500000 Hz, CR: 4/6, T_payload: 1.331200 ms
SF: 8, BW: 500000 Hz, CR: 4/7, T_payload: 1.484800 ms
SF: 8, BW: 500000 Hz, CR: 4/8, T_payload: 1.638400 ms
SF: 9, BW: 7800 Hz, CR: 4/5, T_payload: 118.153846 ms
SF: 9, BW: 7800 Hz, CR: 4/6, T_payload: 131.282051 ms
SF: 9, BW: 7800 Hz, CR: 4/7, T_payload: 144.410256 ms
SF: 9, BW: 7800 Hz, CR: 4/8, T_payload: 157.538462 ms
SF: 9, BW: 10400 Hz, CR: 4/5, T_payload: 88.615385 ms
SF: 9, BW: 10400 Hz, CR: 4/6, T_payload: 98.461538 ms
SF: 9, BW: 10400 Hz, CR: 4/7, T_payload: 108.307692 ms
SF: 9, BW: 10400 Hz, CR: 4/8, T_payload: 118.153846 ms
SF: 9, BW: 15600 Hz, CR: 4/5, T_payload: 59.076923 ms
SF: 9, BW: 15600 Hz, CR: 4/6, T_payload: 65.641026 ms
SF: 9, BW: 15600 Hz, CR: 4/7, T_payload: 72.205128 ms
SF: 9, BW: 15600 Hz, CR: 4/8, T_payload: 78.769231 ms
SF: 9, BW: 20800 Hz, CR: 4/5, T_payload: 44.307692 ms
SF: 9, BW: 20800 Hz, CR: 4/6, T_payload: 49.230769 ms
SF: 9, BW: 20800 Hz, CR: 4/7, T_payload: 54.153846 ms
SF: 9, BW: 20800 Hz, CR: 4/8, T_payload: 59.076923 ms
SF: 9, BW: 31200 Hz, CR: 4/5, T_payload: 29.538462 ms
SF: 9, BW: 31200 Hz, CR: 4/6, T_payload: 32.820513 ms
SF: 9, BW: 31200 Hz, CR: 4/7, T_payload: 36.102564 ms
SF: 9, BW: 31200 Hz, CR: 4/8, T_payload: 39.384615 ms
SF: 9, BW: 41700 Hz, CR: 4/5, T_payload: 22.100719 ms
SF: 9, BW: 41700 Hz, CR: 4/6, T_payload: 24.556355 ms
SF: 9, BW: 41700 Hz, CR: 4/7, T_payload: 27.011990 ms
SF: 9, BW: 41700 Hz, CR: 4/8, T_payload: 29.467626 ms
SF: 9, BW: 62500 Hz, CR: 4/5, T_payload: 14.745600 ms
SF: 9, BW: 62500 Hz, CR: 4/6, T_payload: 16.384000 ms
SF: 9, BW: 62500 Hz, CR: 4/7, T_payload: 18.022400 ms
SF: 9, BW: 62500 Hz, CR: 4/8, T_payload: 19.660800 ms
SF: 9, BW: 125000 Hz, CR: 4/5, T_payload: 7.372800 ms
SF: 9, BW: 125000 Hz, CR: 4/6, T_payload: 8.192000 ms
SF: 9, BW: 125000 Hz, CR: 4/7, T_payload: 9.011200 ms
SF: 9, BW: 125000 Hz, CR: 4/8, T_payload: 9.830400 ms
SF: 9, BW: 250000 Hz, CR: 4/5, T_payload: 3.686400 ms
SF: 9, BW: 250000 Hz, CR: 4/6, T_payload: 4.096000 ms
SF: 9, BW: 250000 Hz, CR: 4/7, T_payload: 4.505600 ms
SF: 9, BW: 250000 Hz, CR: 4/8, T_payload: 4.915200 ms
SF: 9, BW: 500000 Hz, CR: 4/5, T_payload: 1.843200 ms
SF: 9, BW: 500000 Hz, CR: 4/6, T_payload: 2.048000 ms
SF: 9, BW: 500000 Hz, CR: 4/7, T_payload: 2.252800 ms
SF: 9, BW: 500000 Hz, CR: 4/8, T_payload: 2.457600 ms
SF: 10, BW: 7800 Hz, CR: 4/5, T_payload: 236.307692 ms
SF: 10, BW: 7800 Hz, CR: 4/6, T_payload: 262.564103 ms
SF: 10, BW: 7800 Hz, CR: 4/7, T_payload: 288.820513 ms
SF: 10, BW: 7800 Hz, CR: 4/8, T_payload: 315.076923 ms
SF: 10, BW: 10400 Hz, CR: 4/5, T_payload: 177.230769 ms
SF: 10, BW: 10400 Hz, CR: 4/6, T_payload: 196.923077 ms
SF: 10, BW: 10400 Hz, CR: 4/7, T_payload: 216.615385 ms
SF: 10, BW: 10400 Hz, CR: 4/8, T_payload: 236.307692 ms
SF: 10, BW: 15600 Hz, CR: 4/5, T_payload: 118.153846 ms
SF: 10, BW: 15600 Hz, CR: 4/6, T_payload: 131.282051 ms
SF: 10, BW: 15600 Hz, CR: 4/7, T_payload: 144.410256 ms
SF: 10, BW: 15600 Hz, CR: 4/8, T_payload: 157.538462 ms
SF: 10, BW: 20800 Hz, CR: 4/5, T_payload: 88.615385 ms
SF: 10, BW: 20800 Hz, CR: 4/6, T_payload: 98.461538 ms
SF: 10, BW: 20800 Hz, CR: 4/7, T_payload: 108.307692 ms
SF: 10, BW: 20800 Hz, CR: 4/8, T_payload: 118.153846 ms
SF: 10, BW: 31200 Hz, CR: 4/5, T_payload: 59.076923 ms
SF: 10, BW: 31200 Hz, CR: 4/6, T_payload: 65.641026 ms
SF: 10, BW: 31200 Hz, CR: 4/7, T_payload: 72.205128 ms
SF: 10, BW: 31200 Hz, CR: 4/8, T_payload: 78.769231 ms
SF: 10, BW: 41700 Hz, CR: 4/5, T_payload: 44.201439 ms
SF: 10, BW: 41700 Hz, CR: 4/6, T_payload: 49.112710 ms
SF: 10, BW: 41700 Hz, CR: 4/7, T_payload: 54.023981 ms
SF: 10, BW: 41700 Hz, CR: 4/8, T_payload: 58.935252 ms
SF: 10, BW: 62500 Hz, CR: 4/5, T_payload: 29.491200 ms
SF: 10, BW: 62500 Hz, CR: 4/6, T_payload: 32.768000 ms
SF: 10, BW: 62500 Hz, CR: 4/7, T_payload: 36.044800 ms
SF: 10, BW: 62500 Hz, CR: 4/8, T_payload: 39.321600 ms
SF: 10, BW: 125000 Hz, CR: 4/5, T_payload: 14.745600 ms
SF: 10, BW: 125000 Hz, CR: 4/6, T_payload: 16.384000 ms
SF: 10, BW: 125000 Hz, CR: 4/7, T_payload: 18.022400 ms
SF: 10, BW: 125000 Hz, CR: 4/8, T_payload: 19.660800 ms
SF: 10, BW: 250000 Hz, CR: 4/5, T_payload: 7.372800 ms
SF: 10, BW: 250000 Hz, CR: 4/6, T_payload: 8.192000 ms
SF: 10, BW: 250000 Hz, CR: 4/7, T_payload: 9.011200 ms
SF: 10, BW: 250000 Hz, CR: 4/8, T_payload: 9.830400 ms
SF: 10, BW: 500000 Hz, CR: 4/5, T_payload: 3.686400 ms
SF: 10, BW: 500000 Hz, CR: 4/6, T_payload: 4.096000 ms
SF: 10, BW: 500000 Hz, CR: 4/7, T_payload: 4.505600 ms
SF: 10, BW: 500000 Hz, CR: 4/8, T_payload: 4.915200 ms
SF: 11, BW: 7800 Hz, CR: 4/5, T_payload: 472.615385 ms
SF: 11, BW: 7800 Hz, CR: 4/6, T_payload: 525.128205 ms
SF: 11, BW: 7800 Hz, CR: 4/7, T_payload: 577.641026 ms
SF: 11, BW: 7800 Hz, CR: 4/8, T_payload: 630.153846 ms
SF: 11, BW: 10400 Hz, CR: 4/5, T_payload: 354.461538 ms
SF: 11, BW: 10400 Hz, CR: 4/6, T_payload: 393.846154 ms
SF: 11, BW: 10400 Hz, CR: 4/7, T_payload: 433.230769 ms
SF: 11, BW: 10400 Hz, CR: 4/8, T_payload: 472.615385 ms
SF: 11, BW: 15600 Hz, CR: 4/5, T_payload: 236.307692 ms
SF: 11, BW: 15600 Hz, CR: 4/6, T_payload: 262.564103 ms
SF: 11, BW: 15600 Hz, CR: 4/7, T_payload: 288.820513 ms
SF: 11, BW: 15600 Hz, CR: 4/8, T_payload: 315.076923 ms
SF: 11, BW: 20800 Hz, CR: 4/5, T_payload: 177.230769 ms
SF: 11, BW: 20800 Hz, CR: 4/6, T_payload: 196.923077 ms
SF: 11, BW: 20800 Hz, CR: 4/7, T_payload: 216.615385 ms
SF: 11, BW: 20800 Hz, CR: 4/8, T_payload: 236.307692 ms
SF: 11, BW: 31200 Hz, CR: 4/5, T_payload: 118.153846 ms
SF: 11, BW: 31200 Hz, CR: 4/6, T_payload: 131.282051 ms
